IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Sector
2023-01-27,TXO,"TXO Energy Partners, L.P.",20,22,10,660000000,Energy
2023-01-27,BREA,Brera Holdings PLC,5,4.82,-3.6,54972100,Entertainment
2023-01-26,GNLX,Genelux Corporation,6,6.01,0.16667,141928698.2,Biotechnology
2023-01-25,QSG,QuantaSing Group Limited,12.5,12.6,0.8,693992325.6,Diversified Consumer Services
2023-01-20,CVKD,"Cadrenal Therapeutics, Inc.",5,2.62,-47.6,30482586.5,Healthcare
2023-01-13,SKWD,"Skyward Specialty Insurance Group, Inc.",15,18.69,24.6,702745626,Financials
2023-01-13,ISRL,Israel Acquisitions Corp,10,121.65,1.7,176873253.4,Financials
2023-01-13,MGOL,MGO Global Inc.,5,2.57,-48.6,33896321.1,Consumer Discretionary
2022-12-30,ATMC,AlphaTime Acquisition Corp,10,10.16,2.8,2891250,Financials
2022-12-29,COYA,"Coya Therapeutics, Inc.",5,4.54,-9.2,43944520,Healthcare
2022-12-22,HSPO,Horizon Space Acquisition I Corp.,10,10.13,2.901,15435150,Financials
2022-12-20,ATMV,AlphaVest Acquisition Corp,10,10.24,2.8,15420000,Financials
2022-12-20,LIPO,Lipella Pharmaceuticals Inc.,5.75,2.41,-58.08696,13842895,Healthcare
2022-12-14,RAYA,Erayak Power Solution Group Inc.,4,2.62,-34.5,31440000,Industrials
2022-12-09,JEWL,Adamas One Corp.,4.5,2.49,-44.66667,50178978,Consumer Discretionary
2022-11-15,ACRV,"Acrivon Therapeutics, Inc.",12.5,14.53,16.24,303457597,Healthcare
2022-11-11,ATAT,Atour Lifestyle Holdings Limited,11,25,127.27273,3260175000,Consumer Discretionary
2022-11-10,PLTN,Plutonian Acquisition Corp.,10,10.14,1.4,76162760,Financials
2022-11-10,SNAL,"Snail, Inc.",5,1.71,-65.8,63109260,Communication Services
2022-11-10,ASPI,ASP Isotopes Inc.,4,1.61,-59.75,55314931,Materials
2022-10-26,MBLY,Mobileye Global Inc.,21,35.79,70.42857,28700432055,Consumer Discretionary
2022-10-20,PRME,"Prime Medicine, Inc.",17,17.45,2.64706,1696284905,Healthcare
2022-10-14,HUDA,Hudson Acquisition I Corp.,10,10.16,1.6,89186512,Financials
2022-10-14,TENK,TenX Keane Acquisition,10,10.2135,2.135,83137890,Financials
2022-10-13,SVII,Spring Valley Acquisition Corp. II,10,10.245,2.45,314180342,Financials
2022-10-04,AQU,Aquaron Acquisition Corp.,10,10.11,1.1,71176826,Financials
2022-09-30,DMYY,"dMY Squared Technology Group, Inc.",10,10.12,1.2,81856632,Financials
2022-09-30,QOMO,Qomolangma Acquisition Corp.,10,10.2,2,67193724,Financials
2022-09-30,LASE,Laser Photonics Corporation,5,4.8,-4,37816416,Industrials
2022-09-27,AMV,"Atlis Motor Vehicles, Inc.",27.5,3.19,-88.4,30962204,Consumer Discretionary
2022-09-20,GLST,"Global Star Acquisition, Inc.",10,10.16,1.6,127317998,Financials
2022-09-16,NXL,"Nexalin Technology, Inc.",4.15,1.1184,-73.0506,8141907,Healthcare
2022-09-15,CRBG,"Corebridge Financial, Inc.",21,21.58,2.7619,13919100000,Financials
2022-09-15,THRD,"Third Harmonic Bio, Inc.",17,4.27,-74.88235,173126296,Healthcare
2022-09-13,WLDS,Wearable Devices Ltd.,4.25,0.6634,-84.39059,9980919,Technology
2022-09-09,EFHT,EF Hutton Acquisition Corporation I,10,10.13,1.3,148227225,Financials
2022-09-09,YOSH,Yoshiharu Global Co.,4,1.8327,-54.1825,23715138,Consumer Discretionary
2022-09-01,BIAF,"bioAffinity Technologies, Inc.",6.125,2.8725,-53.10204,24042107,Healthcare
2022-08-31,SHPH,"Shuttle Pharmaceuticals Holdings, Inc.",8.13,2.06,-74.66175,27866856,Healthcare
2022-08-30,HPCO,"Hempacco Co., Inc.",6,0.9812,-83.64667,22933784,Healthcare
2022-08-26,JZ,Jianzhi Education Technology Group Company Limited,5,1.61,-67.8,97493550,Consumer Staples
2022-08-26,PXMD,"PaxMedica, Inc.",5.25,2.43,-53.71429,29246508,Healthcare
2022-08-26,ONFO,Onfolio Holdings Inc.,5,1.87,-62.6,9556074,Communication Services
2022-08-26,JFBR,Jeffs’ Brands Ltd,4.16,1.1,-73.55769,8881642,Consumer Discretionary
2022-08-25,MOB,Mobilicom Limited,4.13,1.17,-71.6707,1544329,Technology
2022-08-23,STBX,Starbox Group Holdings Ltd.,4,2.9446,-26.385,160112625,Communication Services
2022-08-18,GCT,GigaCloud Technology Inc,12.25,5.94,-51.5102,241665936,Technology
2022-08-15,LUCY,"Innovative Eyewear, Inc.",7.5,1.43,-80.93333,10449239,Healthcare
2022-08-12,FRZA,"Forza X1, Inc.",5,1.68,-66.4,17556000,Consumer Discretionary
2022-08-12,REBN,"Reborn Coffee, Inc.",5,1.1,-78,14037865,Consumer Discretionary
2022-08-12,=CHG,CorpHousing Group Inc.,4,1.32,,,Utilities
2022-08-11,HMAC,Hainan Manaslu Acquisition Corp.,10,10.21,2.1,91547965,Financials
2022-08-11,TGL,Treasure Global Inc,4,1.82,-54.5,31464342,Technology
2022-08-10,EMCG,Embrace Change Acquisition Corp.,10,10.32,3.2,99987900,Financials
2022-08-05,PTWO,"Pono Capital Two, Inc.",10,10.26,2.6,154586394,Financials
2022-08-05,MEGL,Magic Empire Global Limited,4,2.43,-39.25,48600000,Financials
2022-08-04,MOBV,Mobiv Acquisition Corp,10,10.33,3.3,135835368,Financials
2022-08-03,BRSH,Bruush Oral Care Inc.,4.16,0.387,-90.69712,3154391,Consumer Staples
2022-07-29,MGAM,Mobile Global Esports Inc.,4,0.962,-75.95,19645600,Communication Services
2022-07-28,MAIA,"MAIA Biotechnology, Inc.",5,4.485,-10.3,49092362,Healthcare
2022-07-21,VRAX,Virax Biolabs Group Limited,5,0.78,-84.4,10005684,Healthcare
2022-07-15,HKD,"AMTD Digital, Inc.",7.8,10.34,32.5641,1938181217,Technology
2022-07-13,ILAG,"Intelligent Living Application Group, Inc.",4,1.6,-60,28896000,Industrials
2022-07-12,NA,Nano Labs Ltd,11.5,1.31,-88.6087,73030273,Technology
2022-06-28,IE,Ivanhoe Electric Inc.,11.75,13.46,14.55319,1250271188,Technology
2022-06-24,SKGR,SK Growth Opportunities Corporation,10,10.26,2.6,268812010,Financials
